Category,Elasticity,P-Value,R-Squared
독특한 물품,0.9081580274040948,0.0,0.8993173246926638
애완동물 용품,0.8658556676524249,0.0,0.7397386920141737
가구/인테리어,0.7898606809051585,0.0,0.5620751722571384
향수/미용,0.9002686788973461,0.0,0.870497994822679
정원용품,0.8506854218372247,0.0,0.6115632619162937
가정용품,0.8551426454368285,0.0,0.690087209863836
전화기,1.0026895558224234,0.0,0.8638458608254947
뷰티/건강,0.8943482662648736,0.0,0.8427731694738555
기술 도서,1.0114930085057654,1.8875371577912334e-175,0.953112999259393
패션/가방/액세서리,0.9269832668079333,0.0,0.7925292922710085
침구/욕실용품,0.8710898105959635,0.0,0.6508595250255704
스포츠/레저,0.9047843825123685,0.0,0.797690142706425
콘솔/게임,0.95642678542895,0.0,0.9215266861760896
사무용 가구,0.7303445221745067,7.953970461602145e-88,0.21165935992358942
가방/액세서리,0.9456405548543847,0.0,0.8745871191772242
식품,0.8406857272862005,8.88805357619405e-111,0.6370014171324726
농업/산업/상업,0.9275416548048137,1.98191055557156e-86,0.8515004948738963
전자제품,1.0062031325587095,0.0,0.8944629512736745
컴퓨터/액세서리,1.0130283840484533,0.0,0.7550517764766962
건축/공구/건설,0.8902119376470092,5.717874807690658e-252,0.7186083228705039
오디오,0.9763563382367334,1.2688175561248002e-277,0.9708237032347137
유아용품,0.9238389076255862,0.0,0.8664859752853499
건축/공구/조명,0.6936509317942376,1.9428134529848576e-56,0.569229176142777
장난감,0.9438834647688081,0.0,0.8816048019172643
문구,0.8734197141282709,0.0,0.8163767152071052
산업/상업/비즈니스,0.8140489652008736,2.637720791314413e-69,0.6952759721142452
시계/선물,0.9124566058692491,0.0,0.8699955031301001
자동차용품,0.9768819030107851,0.0,0.867423310990816
기타,0.9127338448553493,0.0,0.8495852699472626
가전제품,0.9562416688976011,0.0,0.9379259303157597
부엌/서비스/다이닝/정원 가구,0.9927311671457624,3.682844931375535e-114,0.851304264699297
냉방 기기,1.0634058805647444,8.182718807033412e-112,0.8282720695235728
가정 편안함,0.9048985448636162,8.472894384180665e-160,0.81746378554605
유선 전화,1.1458379704452029,4.4875172813938124e-123,0.8905798841459521
휴대용 가전/오븐/커피머신,1.002915249680383,2.0462022342227836e-77,0.9926110913005503
기저귀/위생용품,-0.21146914336376493,0.33012650703310653,0.027111796606036576
표지판/보안,0.8823741236089112,2.719680473768961e-57,0.7351450102648139
악기,0.9801617187136276,0.0,0.9495324154684386
소형 가전제품,0.9458662557195984,0.0,0.9421313764368576
건축/공구/정원,0.9454817736431254,1.2477049784130984e-89,0.827140625266334
예술,0.9983881301105502,3.705602707949962e-164,0.978298486402535
주택/건축,0.7489707499009481,3.110316079716122e-132,0.6353425789780095
일반 도서,0.9653873324544174,9.051701110410988e-242,0.8738470147634254
파티용품,0.9185908936077386,1.963342629047099e-24,0.9277287392594823
건축/공구/보안,0.9590200554894706,8.375801875451204e-62,0.7840204086009255
영화/사진,0.8457102567646668,2.9133339522293395e-30,0.8553833261150414
패션/속옷 및 비치웨어,0.7935366471696718,9.752808105423207e-59,0.8770478726800239
패션/남성복,0.9750285791497652,3.4491222086925645e-37,0.734144138085699
식품/음료,0.7992400031441191,1.0091519696061125e-59,0.6308817776084159
음료,1.0336066780579192,4.699440217366272e-77,0.6181769622706365
거실 가구,0.9691843552417202,2.8507043175007303e-83,0.5719038126538725
마켓플레이스,0.9052861587784168,4.946635166967562e-86,0.7211950422058463
음악,1.0,0.0,1.0
패션/신발,0.877909926384655,1.383480194456353e-83,0.7722951997443871
꽃,1.0511721670467795,1.549854081952034e-10,0.7382905578928645
가전제품 2,0.9500830259249907,1.22678424965757e-190,0.9778549894060121
패션/여성복,0.6264242962824716,0.0001917159541056379,0.27904634144954865
PC,0.7805948423851943,5.0038508348361654e-34,0.5306315453797945
수입 도서,1.0661838224000844,8.356910273895787e-24,0.8434011990204383
크리스마스 용품,0.9076821504394381,5.811215606442627e-44,0.7303350337893868
침실 가구,0.9990509780700748,1.6802467113600537e-51,0.896269037863067
가정 편안함 2,0.8430873285341424,1.3589805630582003e-08,0.689729433203643
휴대용 주방/식품 준비 기기,0.946447330139342,1.846579228033527e-11,0.9791938744054859
DVD/블루레이,0.9731277199118119,1.2110345654704015e-36,0.9346267698805832
음악 CD/DVD,0.16223917931989187,0.7261348350658272,0.01060167571303261
예술/공예,0.9509055136244652,4.7304220989731505e-15,0.9415193181467945
침대/매트리스/소파,1.0,0.0,1.0
태블릿/프린터/이미징,1.027965519294068,1.9179618736911666e-38,0.8758246726685518
건축/공구/도구,1.0055804481204804,3.108558313183611e-73,0.9614653612134172
패션/스포츠,0.6279318240477273,0.0013980395028671097,0.32967400300529104
라쿠진(요리 관련),1.0267289817651069,2.776015376858669e-06,0.8497948228225547
PC 게이머,1.885900183684556,0.001120987041172968,0.8499560072189047
보험/서비스,1.0000000000000002,,1.0
패션/아동복,0.9999999999999998,2.277867200365847e-72,1.0
