,price,product_weight_g,dist,order_delivered_customer_day,seller_id_mean,seller_city_mean,customer_city_mean,cluster
79369,38.4,950.0,487.661149774028,6,4.796052631578948,5.20036210018105,7.747474747474747,1.0
105451,31.9,250.0,1345.6272741482942,14,5.259803921568627,5.259803921568627,10.385906040268456,2.0
3944,49.0,250.0,76.75164054783349,3,5.247990815154994,5.20036210018105,3.756410256410256,0.0
95697,104.9,950.0,8.478629522945784,3,6.3426573426573425,5.20036210018105,4.188768009408998,0.0
11735,35.0,950.0,2371.31381642858,19,4.796052631578948,5.20036210018105,12.578947368421051,3.0
59576,74.0,1500.0,283.65629893121513,6,8.455645161290322,8.164498531263114,3.5444444444444443,1.0
26914,199.99,2238.0,1121.455622698905,14,6.2924528301886795,6.593373493975903,10.385906040268456,2.0
88553,59.9,1800.0,662.2882364510796,9,8.292792792792794,8.292792792792794,8.893838158871567,1.0
36738,159.77,450.0,13.879429265114355,2,5.575342465753424,5.526881720430108,4.188768009408998,0.0
80520,69.9,2600.0,19.368632284365937,1,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
72702,299.99,6794.0,273.54844922456664,8,6.2924528301886795,6.593373493975903,3.7177914110429446,1.0
73913,99.9,2500.0,332.2433219799689,7,6.775510204081633,7.735135135135135,4.188768009408998,1.0
85027,11.55,150.0,82.66950929776928,1,5.934782608695652,5.20036210018105,3.756410256410256,0.0
42625,64.9,300.0,857.8920821329098,12,4.818181818181818,5.20036210018105,9.09181141439206,2.0
64549,46.5,1050.0,594.4972818009234,5,8.373983739837398,8.164498531263114,8.893838158871567,1.0
71182,56.99,850.0,350.413661353284,6,7.84549356223176,8.164498531263114,3.7177914110429446,1.0
97886,75.78,500.0,905.3987995315088,15,8.075601374570446,8.164498531263114,11.12280701754386,2.0
26986,12.0,550.0,34.165835590407255,0,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
53145,49.99,800.0,950.2805198078992,9,8.13469387755102,8.164498531263114,10.385906040268456,1.0
95153,299.99,1950.0,1213.601279393257,14,6.2924528301886795,6.593373493975903,12.223880597014926,2.0
8568,169.0,6400.0,23.293803487639725,7,5.798507462686567,5.526881720430108,4.17948717948718,1.0
805,19.0,150.0,365.6359091545927,15,5.333333333333333,5.20036210018105,10.72463768115942,2.0
