product_category_name,date,total_sales,avg_price,day_of_week,month,year,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14
가구/인테리어,2017-01-12,5,114.9,3,1,2017,4.0,2.0,2.0,1.0,1.0,9.0,10.0,10.0,15.0,8.0,6.0,9.0,16.0,2.0,3.4285714285714284,7.0,2.8784916685156965,4.867474467555807
가구/인테리어,2017-01-13,5,259.96,4,1,2017,5.0,4.0,2.0,2.0,1.0,1.0,9.0,10.0,10.0,15.0,8.0,6.0,9.0,16.0,2.857142857142857,6.214285714285714,1.7728105208558345,4.135746075908868
가구/인테리어,2017-01-14,9,55.37777777777777,5,1,2017,5.0,5.0,4.0,2.0,2.0,1.0,1.0,9.0,10.0,10.0,15.0,8.0,6.0,9.0,4.0,6.214285714285714,2.708012801545318,4.135746075908868
가구/인테리어,2017-01-15,13,100.54615384615384,6,1,2017,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,9.0,10.0,10.0,15.0,8.0,6.0,5.714285714285714,6.714285714285714,3.988077469754304,4.513715362495333
가구/인테리어,2017-01-16,5,89.1,0,1,2017,13.0,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,9.0,10.0,10.0,15.0,8.0,6.142857142857143,6.5,3.6709931185158142,4.519189852515263
가구/인테리어,2017-01-17,8,94.5,1,1,2017,5.0,13.0,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,9.0,10.0,10.0,15.0,7.0,6.0,3.214550253664316,3.8430756913220905
가구/인테리어,2017-01-18,8,40.7975,2,1,2017,8.0,5.0,13.0,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,9.0,10.0,10.0,7.571428571428571,5.857142857142857,2.9358214555806357,3.7180876568709103
가구/인테리어,2017-01-19,12,97.71499999999999,3,1,2017,8.0,8.0,5.0,13.0,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,9.0,10.0,8.571428571428571,6.0,3.1014589500826224,3.9223227027636796
가구/인테리어,2017-01-20,12,61.26416666666666,4,1,2017,12.0,8.0,8.0,5.0,13.0,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,9.0,9.571428571428571,6.214285714285714,2.8784916685156947,4.172779398924403
가구/인테리어,2017-01-21,16,54.193125,5,1,2017,12.0,12.0,8.0,8.0,5.0,13.0,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,10.571428571428571,7.285714285714286,3.7352886036263566,4.6314737881747154
가구/인테리어,2017-01-22,13,76.71307692307693,6,1,2017,16.0,12.0,12.0,8.0,8.0,5.0,13.0,9.0,5.0,5.0,4.0,2.0,2.0,1.0,10.571428571428571,8.142857142857142,3.7352886036263566,4.4868550379824095
가구/인테리어,2017-01-23,18,79.44611111111111,0,1,2017,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.0,9.0,5.0,5.0,4.0,2.0,2.0,12.428571428571429,9.285714285714286,3.7352886036263566,4.826665857163027
가구/인테리어,2017-01-24,8,56.59375,1,1,2017,18.0,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.0,9.0,5.0,5.0,4.0,2.0,12.428571428571429,9.714285714285714,3.7352886036263566,4.375255094603872
가구/인테리어,2017-01-25,9,102.67555555555556,2,1,2017,8.0,18.0,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.0,9.0,5.0,5.0,4.0,12.571428571428571,10.071428571428571,3.552329886011096,4.066075138627794
가구/인테리어,2017-01-26,20,97.5625,3,1,2017,9.0,8.0,18.0,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.0,9.0,5.0,5.0,13.714285714285714,11.142857142857142,4.498677054212185,4.5717719651245625
가구/인테리어,2017-01-27,16,119.854375,4,1,2017,20.0,9.0,8.0,18.0,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.0,9.0,5.0,14.285714285714286,11.928571428571429,4.498677054212185,4.3758829564273825
가구/인테리어,2017-01-28,4,148.0925,5,1,2017,16.0,20.0,9.0,8.0,18.0,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.0,9.0,12.571428571428571,11.571428571428571,5.826867164470196,4.815268755408486
가구/인테리어,2017-01-29,9,90.53222222222222,6,1,2017,4.0,16.0,20.0,9.0,8.0,18.0,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.0,12.0,11.285714285714286,5.972157622389638,4.842576736671237
가구/인테리어,2017-01-30,26,76.545,0,1,2017,9.0,4.0,16.0,20.0,9.0,8.0,18.0,13.0,16.0,12.0,12.0,8.0,8.0,5.0,13.142857142857142,12.785714285714286,7.798046153333782,5.885818306986475
가구/인테리어,2017-01-31,22,86.1740909090909,1,1,2017,26.0,9.0,4.0,16.0,20.0,9.0,8.0,18.0,13.0,16.0,12.0,12.0,8.0,8.0,15.142857142857142,13.785714285714286,8.050436249640375,6.191539779018207
가구/인테리어,2017-02-01,14,99.73,2,2,2017,22.0,26.0,9.0,4.0,16.0,20.0,9.0,8.0,18.0,13.0,16.0,12.0,12.0,8.0,15.857142857142858,14.214285714285714,7.625146368618581,5.963718141053789
가구/인테리어,2017-02-02,16,82.830625,3,2,2017,14.0,22.0,26.0,9.0,4.0,16.0,20.0,9.0,8.0,18.0,13.0,16.0,12.0,12.0,15.285714285714286,14.5,7.4097747539828696,5.945263143558394
가구/인테리어,2017-02-03,14,113.21285714285715,4,2,2017,16.0,14.0,22.0,26.0,9.0,4.0,16.0,20.0,9.0,8.0,18.0,13.0,16.0,12.0,15.0,14.642857142857142,7.416198487095662,5.90445910838896
가구/인테리어,2017-02-04,14,153.14857142857142,5,2,2017,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.0,20.0,9.0,8.0,18.0,13.0,16.0,16.428571428571427,14.5,5.711308748355986,5.893281702987667
가구/인테리어,2017-02-05,24,106.79708333333333,6,2,2017,14.0,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.0,20.0,9.0,8.0,18.0,13.0,18.571428571428573,15.285714285714286,5.255382728122436,6.3902398104581986
가구/인테리어,2017-02-06,9,101.28,0,2,2017,24.0,14.0,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.0,20.0,9.0,8.0,18.0,16.142857142857142,14.642857142857142,5.17779140266618,6.546956343419234
가구/인테리어,2017-02-07,21,107.54142857142857,1,2,2017,9.0,24.0,14.0,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.0,20.0,9.0,8.0,16.0,15.571428571428571,5.0,6.453553412527988
가구/인테리어,2017-02-08,18,150.66222222222223,2,2,2017,21.0,9.0,24.0,14.0,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.0,20.0,9.0,16.571428571428573,16.214285714285715,4.961758520831865,6.191539779018207
가구/인테리어,2017-02-09,17,154.19411764705885,3,2,2017,18.0,21.0,9.0,24.0,14.0,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.0,20.0,16.714285714285715,16.0,4.956957592256421,6.10170215847752
가구/인테리어,2017-02-10,16,126.89999999999999,4,2,2017,17.0,18.0,21.0,9.0,24.0,14.0,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.0,17.0,16.0,4.8304589153964805,6.10170215847752
가구/인테리어,2017-02-11,12,148.795,5,2,2017,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.0,16.0,14.0,22.0,26.0,9.0,4.0,16.714285714285715,16.571428571428573,5.0896720822428145,5.199323709192093
가구/인테리어,2017-02-12,10,93.09700000000001,6,2,2017,12.0,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.0,16.0,14.0,22.0,26.0,9.0,14.714285714285714,16.642857142857142,4.461475305855888,5.0930894788488095
가구/인테리어,2017-02-13,24,92.685,0,2,2017,10.0,12.0,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.0,16.0,14.0,22.0,26.0,16.857142857142858,16.5,4.8452234702013985,4.831785782312151
가구/인테리어,2017-02-14,15,168.45,1,2,2017,24.0,10.0,12.0,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.0,16.0,14.0,22.0,16.0,16.0,4.509249752822894,4.574174999174925
가구/인테리어,2017-02-15,19,138.23736842105262,2,2,2017,15.0,24.0,10.0,12.0,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.0,16.0,14.0,16.142857142857142,16.357142857142858,4.59813626840888,4.6011226532586225
가구/인테리어,2017-02-16,12,69.595,3,2,2017,19.0,15.0,24.0,10.0,12.0,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.0,16.0,15.428571428571429,16.071428571428573,4.825527358301296,4.74689024867513
가구/인테리어,2017-02-17,11,165.78727272727272,4,2,2017,12.0,19.0,15.0,24.0,10.0,12.0,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.0,14.714285714285714,15.857142857142858,5.0896720822428145,4.912419783759134
가구/인테리어,2017-02-18,11,115.74363636363637,5,2,2017,11.0,12.0,19.0,15.0,24.0,10.0,12.0,16.0,17.0,18.0,21.0,9.0,24.0,14.0,14.571428571428571,15.642857142857142,5.19156825558337,5.062792523091199
